alert_explanation_id,alert_id,explanation_template_id,locale,situation_text,evidence_text,uncertainty_text,next_step_text,benign_context_text,rendered_at
9e2df2ff-e042-5794-99d5-32abe66a990c,046a0551-fb89-5614-9fa3-a0522de06fb4,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T00:00:00Z
029b6998-91a3-5c94-af4d-cb0d5882d101,046a0551-fb89-5614-9fa3-a0522de06fb4,7e000000-0000-0000-0000-0000000000b4,bn_latn,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T00:00:00Z
d6c8d543-18a9-53dd-a9d9-5bcc93e2b79f,0fbb7a9c-1488-58b1-944e-b02c1ce015f4,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T01:00:00Z
11bd6318-9a4f-53e8-9e2e-edb23508e9f0,0fbb7a9c-1488-58b1-944e-b02c1ce015f4,7e000000-0000-0000-0000-0000000000b4,bn_latn,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T01:00:00Z
0703e408-74ed-5736-be6f-05e1df2d65e2,58183051-3e3e-5833-a098-c3eb62e329a4,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T02:00:00Z
4ca68b9f-233c-53d2-b284-e0e1da231ac1,58183051-3e3e-5833-a098-c3eb62e329a4,7e000000-0000-0000-0000-0000000000b4,bn_latn,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T02:00:00Z
523f6d24-df0a-5f57-8ca0-001a9c41c5b2,5eb6a60b-3582-5ba1-b709-440dbfb008d6,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T03:00:00Z
0c017ffd-91ef-5851-be44-e544fe503ff3,5eb6a60b-3582-5ba1-b709-440dbfb008d6,7e000000-0000-0000-0000-0000000000b4,bn_latn,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T03:00:00Z
e36b0ec1-fe83-59f5-aba6-66eff84472a3,878de643-5de8-54c4-8de0-7a848b3363f6,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T04:00:00Z
98892fc2-5628-5784-86a8-1131cd9ba99a,878de643-5de8-54c4-8de0-7a848b3363f6,7e000000-0000-0000-0000-0000000000b4,bn_latn,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T04:00:00Z
b0830de4-70ce-5d91-87af-26f332f77f56,660f44bd-de81-58dc-abf9-8eb1b541bbf6,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T05:00:00Z
3566be8f-a674-529a-a7c7-dbb9b3c7c9c2,660f44bd-de81-58dc-abf9-8eb1b541bbf6,7e000000-0000-0000-0000-0000000000b4,bn_latn,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T05:00:00Z
3735f425-a4b6-588a-811a-3dd821aa790f,45ef4d48-29e0-5587-b0d2-b3ca716abf7e,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T06:00:00Z
f3cce13e-1749-5464-808e-69b54a3af497,45ef4d48-29e0-5587-b0d2-b3ca716abf7e,7e000000-0000-0000-0000-0000000000b4,bn_latn,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T06:00:00Z
96964025-93cc-54d2-9df6-b9dff54757d9,5cadc826-8c29-59f1-97c9-d45fb7509012,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T07:00:00Z
4e423bc0-02a9-53d7-bf86-c15a497d28eb,5cadc826-8c29-59f1-97c9-d45fb7509012,7e000000-0000-0000-0000-0000000000b4,bn_latn,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T07:00:00Z
edb3f0b9-3be0-5020-a03e-ba91181a54ac,77cac092-fe43-5c6b-b874-8d757e7e608f,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T08:00:00Z
05e2a801-6ebd-5ddc-bafd-a2f638ef40ae,3ec0ddea-68dd-59e3-b03a-38a6b46548ca,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T09:00:00Z
7c5266f5-4725-5aab-8099-4eb1118f135f,2cf91d9d-1a34-51f4-baa3-2f487ef69b75,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T10:00:00Z
59a490fd-a4c7-5d97-84e4-4d594a086b3f,11a0454a-6b21-5f12-ae6b-8831b6e72a14,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T11:00:00Z
c7158e6d-f694-55fc-b526-8d08cda30b1c,c9b9f4e7-2afe-54cc-9246-d87d5801f79f,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T12:00:00Z
16a7306b-d408-58b3-bdce-8c235b795e0e,1b14b3c4-e480-5a43-bdea-e1c31817d204,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T13:00:00Z
a406470c-0a01-5cc2-933c-161372f768e9,40be3154-2647-5210-bb9c-dd68aab2b039,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T14:00:00Z
bbc2a0a9-28fe-5649-a2da-3d0c1eb45d81,54f58876-fe80-5ad4-9fd7-7f7d25bb5ced,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T15:00:00Z
369a5acc-3ce3-5a83-bbb3-918a9d8aa252,88c7920c-d332-51f6-9d0d-5bd13d0a243b,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T16:00:00Z
1b0ebc5c-9af2-5db8-9b02-2f19fbd24157,5b338097-c5ec-555c-9770-e3ea82aa94d2,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T17:00:00Z
86c85ba7-eea8-523b-abd4-9c461b0c6ec6,55dcc85f-0c3c-51dd-b992-e5538d4c5113,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T18:00:00Z
b5e28758-bb55-52d0-b895-fb00bfd732eb,3423768f-2043-52b7-ba01-dea0defe8637,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T19:00:00Z
c411fdef-4588-50a7-82a8-73aab19cfc84,20014918-1245-51a9-9aa0-77f2ad787554,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T20:00:00Z
87b1fb60-b52b-51ac-9a8c-dabf3f23f335,ae815a92-8c91-5a15-95bd-1c07661e81a4,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T21:00:00Z
642ee6f3-181b-5bcb-8074-027ab692d3d5,76b8ca0f-73aa-5b76-8304-9297e276696b,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T22:00:00Z
1b2d7e43-002d-51c7-be5d-f46583d0e007,23d3f577-719d-5603-b6e2-8a4076e48c59,7e000000-0000-0000-0000-0000000000e1,en,Synthetic activity indicates possible liquidity pressure or unusual activity.,Typed analytical evidence is linked to this alert.,This is an advisory simulation; confidence depends on source quality.,Human review recommended using approved operational procedures.,Festival demand or recurring e-commerce payments may explain the pattern.,2026-07-05T23:00:00Z
